Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
651.5,0.258,0.522,0.846,1.472,1.564,1.411
652,0.256,0.52,0.845,1.471,1.564,1.412
652.5,0.254,0.518,0.843,1.469,1.565,1.413
653,0.252,0.516,0.842,1.467,1.565,1.413
653.5,0.25,0.514,0.84,1.466,1.565,1.414
654,0.248,0.512,0.838,1.464,1.565,1.415
654.5,0.246,0.511,0.837,1.462,1.565,1.415
655,0.244,0.509,0.835,1.461,1.566,1.416
655.5,0.242,0.507,0.834,1.459,1.566,1.417
656,0.24,0.505,0.832,1.457,1.566,1.418
656.5,0.238,0.503,0.831,1.456,1.566,1.418
657,0.236,0.502,0.829,1.454,1.566,1.419
657.5,0.234,0.5,0.828,1.452,1.566,1.42
658,0.232,0.498,0.826,1.45,1.567,1.42
658.5,0.23,0.497,0.825,1.449,1.567,1.421
659,0.228,0.495,0.823,1.447,1.567,1.422
659.5,0.226,0.493,0.822,1.445,1.567,1.422
660,0.224,0.492,0.82,1.444,1.567,1.423
660.5,0.222,0.49,0.819,1.442,1.567,1.424
661,0.221,0.488,0.817,1.44,1.567,1.424
661.5,0.219,0.487,0.816,1.438,1.567,1.425
662,0.217,0.485,0.814,1.437,1.567,1.426
662.5,0.215,0.484,0.813,1.435,1.567,1.426
663,0.214,0.482,0.812,1.433,1.567,1.427
663.5,0.212,0.481,0.81,1.431,1.567,1.427
664,0.21,0.479,0.809,1.43,1.567,1.428
664.5,0.209,0.478,0.808,1.428,1.568,1.429
665,0.207,0.476,0.806,1.426,1.568,1.429
665.5,0.205,0.475,0.805,1.425,1.568,1.43
666,0.204,0.473,0.804,1.423,1.568,1.43
666.5,0.202,0.472,0.802,1.421,1.568,1.431
667,0.201,0.471,0.801,1.42,1.568,1.432
667.5,0.199,0.469,0.8,1.418,1.568,1.432
668,0.198,0.468,0.799,1.416,1.567,1.433
668.5,0.196,0.466,0.797,1.415,1.567,1.433
669,0.195,0.465,0.796,1.413,1.567,1.434
669.5,0.193,0.464,0.795,1.411,1.567,1.434
670,0.192,0.463,0.794,1.41,1.567,1.435
670.5,0.191,0.461,0.793,1.408,1.567,1.435
671,0.189,0.46,0.792,1.406,1.567,1.436
671.5,0.188,0.459,0.79,1.405,1.567,1.437
672,0.186,0.458,0.789,1.403,1.567,1.437
672.5,0.185,0.456,0.788,1.401,1.567,1.437
673,0.184,0.455,0.787,1.4,1.567,1.438
673.5,0.182,0.454,0.786,1.398,1.566,1.438
674,0.181,0.453,0.785,1.396,1.566,1.439
674.5,0.18,0.452,0.784,1.395,1.566,1.439
675,0.179,0.451,0.783,1.393,1.566,1.44
675.5,0.177,0.449,0.782,1.391,1.566,1.44
676,0.176,0.448,0.78,1.39,1.566,1.441
676.5,0.175,0.447,0.779,1.388,1.566,1.441
677,0.173,0.446,0.778,1.386,1.566,1.442
677.5,0.172,0.445,0.777,1.385,1.565,1.442
678,0.171,0.444,0.776,1.383,1.565,1.442
678.5,0.17,0.443,0.775,1.382,1.565,1.443
679,0.169,0.442,0.774,1.38,1.565,1.443
679.5,0.168,0.441,0.773,1.378,1.565,1.443
680,0.166,0.439,0.772,1.377,1.564,1.444
680.5,0.165,0.438,0.771,1.375,1.564,1.444
681,0.164,0.437,0.77,1.373,1.564,1.445
681.5,0.163,0.436,0.769,1.372,1.564,1.445
682,0.162,0.435,0.768,1.37,1.563,1.445
682.5,0.161,0.434,0.767,1.368,1.563,1.446
683,0.16,0.433,0.766,1.367,1.563,1.446
683.5,0.158,0.432,0.765,1.365,1.562,1.447
684,0.158,0.431,0.764,1.363,1.562,1.447
684.5,0.156,0.43,0.763,1.362,1.562,1.447
685,0.155,0.429,0.762,1.36,1.562,1.447
685.5,0.154,0.428,0.761,1.359,1.561,1.448
686,0.153,0.428,0.76,1.357,1.561,1.448
686.5,0.152,0.427,0.759,1.355,1.56,1.448
687,0.151,0.426,0.758,1.354,1.56,1.449
687.5,0.15,0.425,0.757,1.352,1.56,1.449
688,0.15,0.424,0.756,1.351,1.559,1.449
688.5,0.148,0.423,0.755,1.349,1.559,1.45
689,0.148,0.422,0.755,1.347,1.559,1.45
689.5,0.147,0.421,0.754,1.346,1.558,1.45
690,0.146,0.42,0.753,1.344,1.558,1.45
690.5,0.145,0.419,0.752,1.343,1.557,1.45
691,0.144,0.418,0.751,1.341,1.557,1.451
691.5,0.143,0.418,0.75,1.339,1.557,1.451
692,0.142,0.417,0.749,1.338,1.556,1.451
692.5,0.141,0.416,0.748,1.336,1.556,1.451
693,0.14,0.415,0.747,1.335,1.555,1.452
693.5,0.139,0.414,0.747,1.333,1.555,1.452
694,0.138,0.414,0.746,1.332,1.554,1.452
694.5,0.138,0.413,0.745,1.33,1.554,1.452
695,0.137,0.412,0.744,1.328,1.553,1.452
695.5,0.136,0.411,0.743,1.327,1.553,1.452
696,0.135,0.41,0.742,1.325,1.552,1.452
696.5,0.134,0.41,0.742,1.324,1.552,1.452
697,0.134,0.409,0.741,1.323,1.551,1.453
697.5,0.133,0.408,0.74,1.321,1.551,1.453
698,0.132,0.407,0.739,1.319,1.55,1.453
698.5,0.131,0.407,0.738,1.318,1.55,1.453
699,0.13,0.406,0.738,1.316,1.549,1.453
699.5,0.13,0.405,0.737,1.315,1.549,1.453
700,0.129,0.405,0.736,1.313,1.548,1.453
700.5,0.128,0.404,0.735,1.312,1.548,1.453
701,0.127,0.403,0.734,1.31,1.547,1.453
701.5,0.127,0.402,0.734,1.309,1.547,1.453
702,0.126,0.402,0.733,1.307,1.546,1.453
702.5,0.125,0.401,0.732,1.306,1.545,1.454
703,0.124,0.4,0.731,1.304,1.545,1.454
703.5,0.124,0.4,0.73,1.303,1.544,1.454
704,0.123,0.399,0.73,1.301,1.544,1.454
704.5,0.122,0.398,0.729,1.3,1.543,1.454
705,0.122,0.398,0.728,1.298,1.542,1.454
705.5,0.121,0.397,0.727,1.296,1.542,1.454
706,0.12,0.396,0.726,1.295,1.541,1.454
706.5,0.12,0.396,0.726,1.293,1.54,1.454
707,0.119,0.395,0.725,1.292,1.54,1.454
707.5,0.118,0.394,0.724,1.29,1.539,1.454
708,0.118,0.394,0.723,1.289,1.538,1.453
708.5,0.117,0.393,0.723,1.287,1.537,1.453
709,0.116,0.392,0.722,1.286,1.537,1.453
709.5,0.115,0.392,0.721,1.284,1.536,1.453
710,0.115,0.391,0.72,1.283,1.535,1.453
710.5,0.114,0.39,0.72,1.281,1.535,1.453
711,0.114,0.39,0.719,1.28,1.534,1.453
711.5,0.113,0.389,0.718,1.278,1.533,1.453
712,0.112,0.389,0.717,1.277,1.533,1.453
712.5,0.112,0.388,0.717,1.275,1.532,1.453
713,0.111,0.387,0.716,1.274,1.531,1.452
713.5,0.11,0.387,0.715,1.272,1.53,1.452
714,0.11,0.386,0.715,1.271,1.53,1.452
714.5,0.109,0.386,0.714,1.269,1.529,1.452
715,0.109,0.385,0.713,1.268,1.528,1.452
715.5,0.108,0.385,0.712,1.266,1.527,1.452
716,0.108,0.384,0.712,1.265,1.527,1.452
716.5,0.107,0.383,0.711,1.264,1.526,1.451
717,0.106,0.383,0.71,1.262,1.525,1.451
717.5,0.106,0.382,0.71,1.261,1.524,1.451
718,0.105,0.382,0.709,1.259,1.523,1.451
718.5,0.105,0.381,0.708,1.258,1.522,1.451
719,0.104,0.381,0.708,1.256,1.522,1.451
719.5,0.104,0.38,0.707,1.255,1.521,1.45
720,0.103,0.38,0.706,1.253,1.52,1.45
720.5,0.103,0.379,0.706,1.252,1.519,1.45
721,0.102,0.379,0.705,1.25,1.518,1.45
721.5,0.102,0.378,0.704,1.249,1.518,1.449
722,0.101,0.378,0.704,1.248,1.517,1.449
722.5,0.101,0.377,0.703,1.246,1.516,1.449
723,0.1,0.377,0.702,1.245,1.515,1.448
723.5,0.1,0.376,0.702,1.243,1.514,1.448
724,0.099,0.376,0.701,1.242,1.514,1.448
724.5,0.099,0.375,0.7,1.241,1.513,1.448
725,0.098,0.375,0.7,1.239,1.512,1.447
725.5,0.098,0.374,0.699,1.238,1.511,1.447
726,0.097,0.374,0.698,1.236,1.51,1.447
726.5,0.097,0.373,0.698,1.235,1.509,1.447
727,0.096,0.373,0.697,1.234,1.508,1.446
727.5,0.096,0.372,0.697,1.232,1.507,1.446
728,0.096,0.372,0.696,1.231,1.507,1.446
728.5,0.095,0.371,0.695,1.229,1.506,1.445
729,0.095,0.371,0.695,1.228,1.505,1.445
729.5,0.094,0.371,0.694,1.227,1.504,1.445
730,0.094,0.37,0.693,1.225,1.503,1.444
730.5,0.093,0.37,0.693,1.224,1.502,1.444
731,0.093,0.369,0.692,1.222,1.501,1.444
731.5,0.092,0.369,0.691,1.221,1.5,1.443
732,0.092,0.368,0.691,1.22,1.499,1.443
732.5,0.092,0.368,0.69,1.218,1.498,1.443
733,0.091,0.368,0.69,1.217,1.498,1.442
733.5,0.091,0.367,0.689,1.216,1.497,1.442
734,0.09,0.367,0.688,1.214,1.496,1.442
734.5,0.09,0.366,0.688,1.213,1.495,1.441
735,0.089,0.366,0.687,1.211,1.494,1.441
735.5,0.089,0.365,0.687,1.21,1.493,1.44
736,0.089,0.365,0.686,1.209,1.492,1.44
736.5,0.088,0.365,0.685,1.207,1.491,1.44
737,0.088,0.364,0.685,1.206,1.49,1.439
737.5,0.088,0.364,0.684,1.205,1.489,1.439
738,0.087,0.363,0.684,1.203,1.488,1.438
738.5,0.087,0.363,0.683,1.202,1.487,1.438
739,0.086,0.363,0.683,1.201,1.486,1.438
739.5,0.086,0.362,0.682,1.199,1.485,1.437
740,0.085,0.362,0.681,1.198,1.485,1.437
740.5,0.085,0.361,0.681,1.196,1.484,1.437
741,0.085,0.361,0.68,1.195,1.483,1.436
741.5,0.084,0.361,0.68,1.194,1.482,1.436
742,0.084,0.36,0.679,1.193,1.481,1.435
742.5,0.084,0.36,0.679,1.191,1.48,1.435
743,0.083,0.36,0.678,1.19,1.479,1.435
743.5,0.083,0.359,0.677,1.189,1.478,1.434
744,0.082,0.359,0.677,1.187,1.477,1.434
744.5,0.082,0.359,0.676,1.186,1.476,1.433
745,0.082,0.358,0.676,1.185,1.475,1.433
745.5,0.081,0.358,0.675,1.183,1.475,1.433
746,0.081,0.357,0.675,1.182,1.474,1.432
746.5,0.081,0.357,0.674,1.181,1.473,1.432
747,0.08,0.357,0.674,1.18,1.472,1.431
747.5,0.08,0.356,0.673,1.178,1.471,1.431
748,0.079,0.356,0.673,1.177,1.47,1.43
748.5,0.079,0.356,0.672,1.176,1.469,1.43
749,0.079,0.355,0.671,1.174,1.468,1.43
749.5,0.078,0.355,0.671,1.173,1.467,1.429
750,0.078,0.355,0.67,1.172,1.466,1.429
750.5,0.078,0.354,0.67,1.17,1.465,1.428
751,0.077,0.354,0.669,1.169,1.464,1.428
751.5,0.077,0.353,0.669,1.168,1.463,1.427
752,0.077,0.353,0.668,1.166,1.462,1.427
752.5,0.076,0.353,0.668,1.165,1.461,1.426
753,0.076,0.352,0.667,1.164,1.46,1.426
753.5,0.075,0.352,0.667,1.162,1.459,1.426
754,0.075,0.352,0.666,1.161,1.458,1.425
754.5,0.075,0.351,0.666,1.16,1.457,1.425
755,0.074,0.351,0.665,1.158,1.456,1.424
755.5,0.074,0.351,0.664,1.157,1.455,1.424
756,0.074,0.35,0.664,1.156,1.454,1.423
756.5,0.073,0.35,0.663,1.155,1.453,1.423
757,0.073,0.35,0.663,1.153,1.452,1.422
757.5,0.073,0.349,0.662,1.152,1.451,1.422
758,0.072,0.349,0.662,1.151,1.45,1.421
758.5,0.072,0.349,0.661,1.149,1.449,1.421
759,0.072,0.348,0.661,1.148,1.448,1.42
759.5,0.071,0.348,0.66,1.147,1.448,1.42
760,0.071,0.347,0.66,1.145,1.446,1.419
760.5,0.071,0.347,0.659,1.144,1.445,1.419
761,0.071,0.347,0.659,1.143,1.445,1.419
761.5,0.071,0.347,0.659,1.142,1.444,1.418
762,0.07,0.347,0.658,1.14,1.443,1.418
762.5,0.07,0.346,0.658,1.139,1.442,1.417
763,0.07,0.346,0.657,1.138,1.441,1.417
763.5,0.069,0.346,0.657,1.137,1.44,1.416
764,0.069,0.345,0.656,1.136,1.439,1.416
764.5,0.069,0.345,0.656,1.134,1.438,1.416
765,0.068,0.345,0.655,1.133,1.437,1.415
765.5,0.068,0.344,0.655,1.132,1.436,1.415
766,0.068,0.344,0.654,1.131,1.435,1.414
766.5,0.068,0.344,0.654,1.13,1.434,1.414
767,0.067,0.344,0.653,1.128,1.433,1.413
767.5,0.067,0.343,0.653,1.127,1.432,1.413
768,0.067,0.343,0.653,1.126,1.432,1.413
768.5,0.066,0.343,0.652,1.125,1.431,1.412
769,0.066,0.343,0.652,1.124,1.43,1.412
769.5,0.066,0.342,0.651,1.122,1.429,1.411
770,0.066,0.342,0.651,1.121,1.428,1.411
770.5,0.065,0.342,0.65,1.12,1.427,1.41
771,0.065,0.341,0.65,1.119,1.426,1.41
771.5,0.065,0.341,0.649,1.118,1.425,1.409
772,0.065,0.341,0.649,1.117,1.424,1.409
772.5,0.064,0.34,0.649,1.115,1.423,1.409
773,0.064,0.34,0.648,1.114,1.422,1.408
773.5,0.064,0.34,0.648,1.113,1.421,1.408
774,0.063,0.34,0.647,1.112,1.421,1.407
774.5,0.063,0.339,0.647,1.111,1.42,1.407
775,0.063,0.339,0.646,1.11,1.419,1.406
775.5,0.063,0.339,0.646,1.108,1.418,1.406
776,0.062,0.338,0.645,1.107,1.417,1.405
776.5,0.062,0.338,0.645,1.106,1.416,1.405
777,0.062,0.338,0.645,1.105,1.415,1.404
777.5,0.062,0.338,0.644,1.104,1.414,1.404
778,0.061,0.337,0.644,1.103,1.413,1.404
778.5,0.061,0.337,0.643,1.102,1.412,1.403
779,0.061,0.337,0.643,1.101,1.412,1.403
779.5,0.061,0.337,0.642,1.099,1.411,1.402
780,0.06,0.336,0.642,1.098,1.41,1.402
780.5,0.06,0.336,0.642,1.097,1.409,1.401
781,0.06,0.336,0.641,1.096,1.408,1.401
781.5,0.06,0.336,0.641,1.095,1.407,1.4
782,0.059,0.335,0.64,1.094,1.406,1.4
782.5,0.059,0.335,0.64,1.093,1.405,1.399
783,0.059,0.335,0.64,1.091,1.404,1.399
783.5,0.059,0.335,0.639,1.09,1.404,1.399
784,0.058,0.334,0.639,1.089,1.403,1.398
784.5,0.058,0.334,0.638,1.088,1.402,1.398
785,0.058,0.334,0.638,1.087,1.401,1.397
785.5,0.058,0.334,0.638,1.086,1.4,1.397
786,0.057,0.333,0.637,1.085,1.399,1.396
786.5,0.057,0.333,0.637,1.084,1.398,1.396
787,0.057,0.333,0.636,1.083,1.397,1.396
787.5,0.057,0.333,0.636,1.082,1.396,1.395
788,0.057,0.332,0.636,1.081,1.396,1.395
788.5,0.056,0.332,0.635,1.08,1.395,1.394
789,0.056,0.332,0.635,1.079,1.394,1.394
789.5,0.056,0.332,0.634,1.078,1.393,1.393
790,0.056,0.331,0.634,1.077,1.392,1.393
790.5,0.055,0.331,0.634,1.075,1.391,1.393
791,0.055,0.331,0.633,1.074,1.39,1.392
791.5,0.055,0.331,0.633,1.073,1.39,1.392
792,0.055,0.33,0.633,1.072,1.389,1.391
792.5,0.055,0.33,0.632,1.071,1.388,1.391
793,0.054,0.33,0.632,1.07,1.387,1.391
793.5,0.054,0.33,0.631,1.069,1.386,1.39
794,0.054,0.329,0.631,1.068,1.385,1.389
794.5,0.054,0.329,0.631,1.067,1.384,1.389
795,0.054,0.329,0.63,1.066,1.383,1.388
795.5,0.053,0.329,0.63,1.065,1.383,1.388
796,0.053,0.328,0.629,1.064,1.382,1.388
796.5,0.053,0.328,0.629,1.063,1.381,1.387
797,0.053,0.328,0.629,1.062,1.38,1.387
797.5,0.053,0.328,0.628,1.061,1.379,1.386
798,0.052,0.328,0.628,1.06,1.378,1.386
798.5,0.052,0.327,0.628,1.059,1.377,1.385
799,0.052,0.327,0.627,1.058,1.376,1.385
799.5,0.052,0.327,0.627,1.057,1.376,1.385
800,0.052,0.327,0.627,1.056,1.375,1.384
