Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
458,2.275,2.155,2.029,1.784,1.393,1.17
458.5,2.28,2.157,2.03,1.784,1.393,1.17
459,2.28,2.161,2.031,1.783,1.393,1.169
459.5,2.285,2.161,2.034,1.784,1.393,1.169
460,2.286,2.162,2.034,1.784,1.392,1.168
460.5,2.29,2.164,2.034,1.785,1.392,1.168
461,2.29,2.167,2.036,1.785,1.392,1.168
461.5,2.293,2.171,2.039,1.785,1.392,1.168
462,2.298,2.176,2.041,1.786,1.392,1.167
462.5,2.299,2.176,2.043,1.787,1.391,1.167
463,2.303,2.178,2.046,1.787,1.391,1.166
463.5,2.307,2.182,2.047,1.788,1.391,1.166
464,2.311,2.184,2.049,1.789,1.391,1.166
464.5,2.314,2.187,2.051,1.792,1.391,1.165
465,2.316,2.191,2.054,1.792,1.391,1.165
465.5,2.32,2.194,2.056,1.792,1.391,1.165
466,2.326,2.196,2.059,1.794,1.391,1.165
466.5,2.333,2.2,2.06,1.795,1.391,1.164
467,2.336,2.204,2.063,1.795,1.391,1.164
467.5,2.341,2.209,2.067,1.797,1.391,1.164
468,2.343,2.21,2.07,1.799,1.391,1.164
468.5,2.35,2.215,2.072,1.8,1.391,1.164
469,2.353,2.221,2.076,1.802,1.392,1.163
469.5,2.358,2.22,2.077,1.803,1.392,1.163
470,2.36,2.23,2.076,1.804,1.392,1.163
470.5,2.365,2.23,2.085,1.807,1.393,1.163
471,2.374,2.237,2.09,1.81,1.393,1.163
471.5,2.38,2.24,2.094,1.81,1.393,1.163
472,2.385,2.245,2.097,1.812,1.394,1.162
472.5,2.39,2.252,2.101,1.816,1.394,1.162
473,2.394,2.255,2.105,1.817,1.395,1.162
473.5,2.399,2.261,2.107,1.818,1.395,1.162
474,2.41,2.264,2.115,1.82,1.396,1.163
474.5,2.411,2.27,2.118,1.823,1.396,1.163
475,2.421,2.278,2.121,1.825,1.397,1.163
475.5,2.424,2.282,2.126,1.828,1.398,1.163
476,2.432,2.286,2.13,1.831,1.398,1.163
476.5,2.441,2.291,2.133,1.835,1.399,1.163
477,2.445,2.299,2.14,1.837,1.4,1.164
477.5,2.452,2.306,2.145,1.839,1.401,1.164
478,2.463,2.315,2.153,1.843,1.402,1.164
478.5,2.469,2.319,2.158,1.846,1.403,1.164
479,2.477,2.323,2.164,1.848,1.404,1.165
479.5,2.485,2.333,2.169,1.852,1.406,1.165
480,2.49,2.342,2.176,1.856,1.406,1.165
480.5,2.5,2.348,2.181,1.859,1.408,1.166
481,2.507,2.353,2.187,1.862,1.409,1.166
481.5,2.517,2.361,2.194,1.867,1.411,1.167
482,2.528,2.367,2.199,1.871,1.412,1.168
482.5,2.539,2.376,2.208,1.876,1.414,1.168
483,2.545,2.386,2.215,1.879,1.415,1.169
483.5,2.551,2.396,2.221,1.884,1.417,1.17
484,2.561,2.403,2.229,1.889,1.418,1.17
484.5,2.567,2.413,2.236,1.894,1.42,1.171
485,2.58,2.42,2.243,1.898,1.422,1.172
485.5,2.589,2.425,2.251,1.902,1.424,1.173
486,2.597,2.438,2.257,1.908,1.426,1.174
486.5,2.607,2.448,2.265,1.912,1.428,1.175
487,2.62,2.456,2.276,1.919,1.431,1.176
487.5,2.632,2.464,2.284,1.924,1.433,1.177
