"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.4100","11.1600","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","2.30891",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",7.8125E-04,0,
"0.05",.0009375,0,
"0.10",.0009375,.004,
"0.15",.003125,.012,
"0.20",1.140625E-02,.02,
"0.25",2.421875E-02,.028,
"0.30",3.859375E-02,.036,
"0.35",5.296875E-02,.045,
"0.40",.0671875,.053,
"0.45",8.109375E-02,.061,
"0.50",.0946875,.07,
"0.55",.1085937,.078,
"0.60",.1220312,.086,
"0.65",.1353125,.095,
"0.70",.1484375,.103,
"0.75",.160625,.111,
"0.80",.1729687,.12,
"0.85",.1845313,.128,
"0.90",.1954688,.136,
"0.95",.2060937,.145,
"1.00",.2167187,.153,
"1.05",.2264062,.161,
"1.10",.2360937,.17,
"1.15",.2457812,.178,
"1.20",.2545313,.186,
"1.25",.2625,.195,
"1.30",.2704687,.203,
"1.35",.27875,.211,
"1.40",.2860937,.22,
"1.45",.2928125,.228,
"1.50",.3003125,.236,
"1.55",.3064063,.245,
"1.60",.3120312,.253,
"1.65",.3175,.261,
"1.70",.3232813,.27,
"1.75",.3279687,.278,
"1.80",.3334375,.286,
"1.85",.338125,.295,
"1.90",.34375,.303,
"1.95",.34875,.311,
"2.00",.3535937,.32,
"2.05",.3589062,.328,
"2.10",.3639063,.336,
"2.15",.3684375,.345,
"2.20",.3732812,.353,
"2.25",.3778125,.361,
"2.30",.3829688,.37,
"2.35",.3878125,.378,
"2.40",.3929687,.386,
"2.45",.3976563,.395,
"2.50",.4025,.403,
"2.55",.406875,.411,
"2.60",.4114062,.42,
"2.65",.4157813,.428,
"2.70",.4198438,.436,
"2.75",.424375,.445,
"2.80",.4279687,.453,
"2.85",.4320312,.461,
"2.90",.4365625,.47,
"2.95",.4410937,.478,
"3.00",.4451562,.486,
"3.05",.449375,.495,
"3.10",.4542187,.503,
"3.15",.4589063,.511,
"3.20",.46375,.52,
"3.25",.4682812,.528,
"3.30",.4721875,.536,
"3.35",.4773437,.545,
"3.40",.4821875,.553,
"3.45",.4870313,.561,
"3.50",.4914063,.57,
"3.55",.4964063,.578,
"3.60",.5010937,.586,
"3.65",.5057812,.595,
"3.70",.5098438,.603,
"3.75",.514375,.611,
"3.80",.5192187,.62,
"3.85",.5234375,.628,
"3.90",.5284375,.636,
"3.95",.5329688,.645,
"4.00",.5382813,.653,
"4.05",.5426562,.661,
"4.10",.5473437,.67,
"4.15",.551875,.678,
"4.20",.5565625,.686,
"4.25",.5615625,.695,
"4.30",.5660937,.703,
"4.35",.57125,.711,
"4.40",.5759375,.72,
"4.45",.5803125,.728,
"4.50",.585,.736,
"4.55",.5901563,.745,
"4.60",.5951563,.753,
"4.65",.6001562,.761,
"4.70",.6051562,.77,
"4.75",.6098437,.778,
"4.80",.6148437,.786,
"4.85",.6198437,.795,
"4.90",.6246875,.803,
"4.95",.6296875,.811,
"5.00",.6342188,.82,
"5.05",.639375,.828,
"5.10",.6445313,.836,
"5.15",.6492187,.845,
"5.20",.65375,.853,
"5.25",.65875,.861,
"5.30",.6642187,.87,
"5.35",.669375,.878,
"5.40",.6746875,.886,
"5.45",.6801562,.895,
"5.50",.6854687,.903,
"5.55",.6907812,.911,
"5.60",.6957812,.92,
"5.65",.70125,.928,
"5.70",.7065625,.936,
"5.75",.7117187,.945,
"5.80",.716875,.953,
"5.85",.721875,.961,
"5.90",.7270312,.97,
"5.95",.7323437,.978,
"6.00",.7376562,.987,
"6.05",.7429687,.995,
"6.10",.7482812,1.003,
"6.15",.7535937,1.011,
"6.20",.7592188,1.02,
"6.25",.7640625,1.028,
"6.30",.7696875,1.036,
"6.35",.7751563,1.045,
"6.40",.7803125,1.053,
"6.45",.7853125,1.061,
"6.50",.790625,1.07,
"6.55",.795625,1.078,
"6.60",.80125,1.086,
"6.65",.8070313,1.095,
"6.70",.8114063,1.103,
"6.75",.8167188,1.111,
"6.80",.8221875,1.12,
"6.85",.8275,1.128,
"6.90",.833125,1.136,
"6.95",.8382813,1.145,
