"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.2150","9.7500","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","2.08687",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",.000625,0,
"0.05",4.6875E-04,0,
"0.10",4.6875E-04,.005,
"0.15",.0028125,.012,
"0.20",9.84375E-03,.021,
"0.25",.0203125,.029,
"0.30",.03125,.037,
"0.35",4.234375E-02,.045,
"0.40",5.203125E-02,.054,
"0.45",6.171875E-02,.062,
"0.50",.070625,.07,
"0.55",7.921875E-02,.079,
"0.60",.0871875,.087,
"0.65",.094375,.095,
"0.70",.1014062,.104,
"0.75",.1084375,.112,
"0.80",.1151562,.12,
"0.85",.1221875,.129,
"0.90",.1282813,.137,
"0.95",.1345312,.145,
"1.00",.1404687,.154,
"1.05",.14625,.162,
"1.10",.1517188,.17,
"1.15",.1579687,.179,
"1.20",.1635938,.187,
"1.25",.1692187,.195,
"1.30",.1757813,.204,
"1.35",.1815625,.212,
"1.40",.1878125,.22,
"1.45",.1934375,.229,
"1.50",.199375,.237,
"1.55",.2051563,.245,
"1.60",.2110938,.254,
"1.65",.2165625,.262,
"1.70",.2217187,.27,
"1.75",.2278125,.279,
"1.80",.2328125,.287,
"1.85",.23875,.295,
"1.90",.2440625,.304,
"1.95",.249375,.312,
"2.00",.2551562,.32,
"2.05",.26125,.329,
"2.10",.266875,.337,
"2.15",.2729687,.345,
"2.20",.27875,.354,
"2.25",.284375,.362,
"2.30",.29,.371,
"2.35",.2954687,.379,
"2.40",.301875,.387,
"2.45",.3076563,.395,
"2.50",.313125,.404,
"2.55",.3190625,.412,
"2.60",.3248438,.42,
"2.65",.330625,.429,
"2.70",.336875,.437,
"2.75",.3423437,.445,
"2.80",.348125,.454,
"2.85",.35375,.462,
"2.90",.36,.47,
"2.95",.3659375,.479,
"3.00",.3707812,.487,
"3.05",.37625,.495,
"3.10",.3820313,.504,
"3.15",.3873438,.512,
"3.20",.3921875,.52,
"3.25",.3976563,.529,
"3.30",.4026563,.537,
"3.35",.4076563,.545,
"3.40",.4129688,.554,
"3.45",.4175,.562,
"3.50",.4225,.57,
"3.55",.4271875,.579,
"3.60",.4320312,.587,
"3.65",.436875,.595,
"3.70",.4414063,.604,
"3.75",.4460937,.612,
"3.80",.4507813,.62,
"3.85",.4553125,.629,
"3.90",.4598438,.637,
"3.95",.4640625,.645,
"4.00",.4685937,.654,
"4.05",.473125,.662,
"4.10",.4779688,.67,
"4.15",.4817187,.679,
"4.20",.4864062,.687,
"4.25",.4909375,.695,
"4.30",.4951563,.704,
"4.35",.4996875,.712,
"4.40",.5045313,.72,
"4.45",.509375,.729,
"4.50",.51375,.737,
"4.55",.51875,.745,
"4.60",.5234375,.754,
"4.65",.5284375,.762,
"4.70",.5328125,.77,
"4.75",.5371875,.779,
"4.80",.5415625,.787,
"4.85",.5464063,.795,
"4.90",.5503125,.804,
"4.95",.554375,.812,
"5.00",.55875,.82,
"5.05",.5625,.829,
"5.10",.5670313,.837,
"5.15",.570625,.845,
"5.20",.5751563,.854,
"5.25",.5792187,.862,
"5.30",.5828125,.87,
"5.35",.586875,.879,
"5.40",.5910938,.887,
"5.45",.5953125,.895,
"5.50",.6004688,.904,
"5.55",.6046875,.912,
"5.60",.6092188,.92,
"5.65",.6135938,.929,
"5.70",.618125,.937,
"5.75",.6225,.946,
"5.80",.6273438,.954,
"5.85",.6315625,.962,
"5.90",.63625,.97,
"5.95",.6404688,.979,
"6.00",.6457813,.987,
"6.05",.6496875,.995,
"6.10",.654375,1.004,
"6.15",.6589062,1.012,
"6.20",.66375,1.02,
"6.25",.6685938,1.029,
"6.30",.6729687,1.037,
"6.35",.6779687,1.045,
"6.40",.6829687,1.054,
"6.45",.6875,1.062,
"6.50",.6915625,1.07,
"6.55",.6959375,1.079,
"6.60",.700625,1.087,
"6.65",.7046875,1.095,
"6.70",.7089062,1.104,
"6.75",.7134375,1.112,
"6.80",.7179688,1.12,
"6.85",.7220312,1.129,
"6.90",.7264063,1.137,
"6.95",.730625,1.145,
"7.00",.7353125,1.154,
"7.05",.739375,1.162,
"7.10",.74375,1.17,
"7.15",.7485937,1.179,
"7.20",.7525,1.187,
"7.25",.7576563,1.195,
"7.30",.7615625,1.204,
"7.35",.7659375,1.212,
"7.40",.7704688,1.22,
"7.45",.7748438,1.229,
"7.50",.779375,1.237,
"7.55",.7840625,1.245,
"7.60",.788125,1.254,
"7.65",.7920312,1.262,
"7.70",.7965625,1.27,
"7.75",.80125,1.279,
"7.80",.8054687,1.287,
"7.85",.8104687,1.295,
"7.90",.8146875,1.304,
"7.95",.8192188,1.312,
"8.00",.823125,1.32,
"8.05",.8275,1.329,
"8.10",.8321875,1.337,
"8.15",.8364062,1.345,
"8.20",.8410938,1.354,
"8.25",.8446875,1.362,
"8.30",.8498437,1.371,
"8.35",.8542187,1.379,
"8.40",.8589063,1.387,
"8.45",.8635938,1.395,
"8.50",.8682812,1.404,
"8.55",.8723438,1.412,
"8.60",.8776562,1.42,
"8.65",.8821875,1.429,
"8.70",.8876563,1.437,
"8.75",.8920313,1.445,
"8.80",.8971875,1.454,
"8.85",.9021875,1.462,
"8.90",.9073437,1.471,
"8.95",.9121875,1.479,
"9.00",.9171875,1.487,
"9.05",.9221875,1.495,
"9.10",.9270313,1.504,
"9.15",.9320313,1.512,
"9.20",.936875,1.52,
"9.25",.9414063,1.529,
"9.30",.9467188,1.537,
"9.35",.9510937,1.545,
"9.40",.9557812,1.554,
"9.45",.9610937,1.562,
"9.50",.9659375,1.57,
"9.55",.9709375,1.579,
"9.60",.9759375,1.587,
"9.65",.98125,1.595,
"9.70",.9859375,1.604,
"9.75",.9910938,1.612,
"9.80",.99625,1.62,
"9.85",1.00125,1.629,
"9.90",1.00625,1.637,
"9.95",1.01125,1.645,
"10.00",1.015937,1.654,
"10.05",1.020937,1.662,
"10.10",1.026406,1.67,
"10.15",1.030938,1.679,
"10.20",1.036094,1.687,
"10.25",1.041094,1.695,
"10.30",1.046094,1.704,
"10.35",1.05125,1.712,
"10.40",1.055938,1.72,
"10.45",1.061094,1.729,
"10.50",1.066563,1.737,
"10.55",1.071406,1.745,
