"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.2350","9.6350","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","1.91469",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",4.6875E-04,0,
"0.05",7.8125E-04,0,
"0.10",.0003125,.006,
"0.15",.003125,.013,
"0.20",1.078125E-02,.021,
"0.25",2.140625E-02,.03,
"0.30",3.296875E-02,.038,
"0.35",4.546875E-02,.046,
"0.40",5.609375E-02,.055,
"0.45",6.703125E-02,.063,
"0.50",7.765625E-02,.071,
"0.55",8.859375E-02,.08,
"0.60",9.953125E-02,.088,
"0.65",.1096875,.096,
"0.70",.12,.105,
"0.75",.1304688,.113,
"0.80",.14,.121,
"0.85",.1498438,.13,
"0.90",.1601563,.138,
"0.95",.1696875,.146,
"1.00",.1798438,.155,
"1.05",.19,.163,
"1.10",.1998437,.171,
"1.15",.2098438,.18,
"1.20",.2198437,.188,
"1.25",.2290625,.196,
"1.30",.2390625,.205,
"1.35",.248125,.213,
"1.40",.2576562,.221,
"1.45",.2660938,.23,
"1.50",.2746875,.238,
"1.55",.2826563,.246,
"1.60",.2907813,.255,
"1.65",.299375,.263,
"1.70",.3065625,.271,
"1.75",.3134375,.28,
"1.80",.320625,.288,
"1.85",.3271875,.296,
"1.90",.333125,.305,
"1.95",.3395312,.313,
"2.00",.344375,.321,
"2.05",.3492188,.33,
"2.10",.3534375,.338,
"2.15",.3571875,.346,
"2.20",.3607813,.355,
"2.25",.3646875,.363,
"2.30",.36875,.371,
"2.35",.3732812,.38,
"2.40",.3776563,.388,
"2.45",.3821875,.396,
"2.50",.3865625,.405,
"2.55",.3909375,.413,
"2.60",.3953125,.421,
"2.65",.3995312,.43,
"2.70",.40375,.438,
"2.75",.4082812,.446,
"2.80",.4125,.455,
"2.85",.4165625,.463,
"2.90",.4209375,.471,
"2.95",.425,.48,
"3.00",.4284375,.488,
"3.05",.4321875,.496,
"3.10",.435625,.505,
"3.15",.4396875,.513,
"3.20",.4439062,.521,
"3.25",.4484375,.53,
"3.30",.4529687,.538,
"3.35",.4576563,.546,
"3.40",.4620312,.555,
"3.45",.4667188,.563,
"3.50",.4707812,.571,
"3.55",.4753125,.58,
"3.60",.4796875,.588,
"3.65",.484375,.596,
"3.70",.4882813,.605,
"3.75",.4928125,.613,
"3.80",.4970312,.621,
"3.85",.5015625,.63,
"3.90",.5054687,.638,
"3.95",.5096875,.646,
"4.00",.5140625,.655,
"4.05",.51875,.663,
"4.10",.5228125,.671,
"4.15",.526875,.68,
"4.20",.53125,.688,
"4.25",.5360938,.696,
"4.30",.540625,.705,
"4.35",.545,.713,
"4.40",.5492188,.721,
"4.45",.55375,.73,
"4.50",.5582812,.738,
"4.55",.5626562,.746,
"4.60",.5675,.755,
"4.65",.5717188,.763,
"4.70",.57625,.771,
"4.75",.5807812,.78,
"4.80",.5857813,.788,
"4.85",.5901563,.796,
"4.90",.5953125,.805,
"4.95",.5992187,.813,
"5.00",.60375,.821,
"5.05",.6085938,.83,
"5.10",.6134375,.838,
"5.15",.6175,.846,
"5.20",.6223438,.855,
"5.25",.6270313,.863,
"5.30",.6315625,.871,
"5.35",.6357812,.88,
"5.40",.64,.888,
"5.45",.6453125,.896,
"5.50",.649375,.905,
"5.55",.6545312,.913,
"5.60",.6592187,.921,
"5.65",.664375,.93,
"5.70",.6692188,.938,
"5.75",.6739063,.946,
"5.80",.6792188,.955,
"5.85",.6835938,.963,
"5.90",.6892188,.971,
"5.95",.6934375,.98,
"6.00",.6985937,.988,
"6.05",.7039062,.996,
"6.10",.7079688,1.005,
"6.15",.7126563,1.013,
"6.20",.7179688,1.021,
"6.25",.7234375,1.03,
"6.30",.7271875,1.038,
"6.35",.7326562,1.046,
"6.40",.7379687,1.055,
"6.45",.7428125,1.063,
"6.50",.7476562,1.071,
"6.55",.7525,1.08,
"6.60",.7575,1.088,
"6.65",.7626563,1.096,
"6.70",.7671875,1.105,
"6.75",.7725,1.113,
"6.80",.7770312,1.121,
"6.85",.7823437,1.13,
"6.90",.7873437,1.138,
"6.95",.7915625,1.146,
"7.00",.7964063,1.155,
"7.05",.8015625,1.163,
"7.10",.806875,1.171,
"7.15",.811875,1.18,
"7.20",.8165625,1.188,
"7.25",.8214062,1.196,
"7.30",.826875,1.205,
"7.35",.8317187,1.213,
"7.40",.83625,1.221,
"7.45",.8417187,1.23,
"7.50",.846875,1.238,
"7.55",.851875,1.246,
"7.60",.856875,1.255,
"7.65",.8620312,1.263,
"7.70",.8671875,1.271,
"7.75",.8725,1.28,
"7.80",.8779687,1.288,
"7.85",.8821875,1.296,
"7.90",.8878125,1.305,
"7.95",.8925,1.313,
"8.00",.8990625,1.321,
"8.05",.9029688,1.33,
"8.10",.9082813,1.338,
"8.15",.9132813,1.346,
"8.20",.9185938,1.355,
"8.25",.92375,1.363,
"8.30",.92875,1.371,
"8.35",.934375,1.38,
"8.40",.9396875,1.388,
"8.45",.9448438,1.396,
"8.50",.9504688,1.405,
"8.55",.95625,1.413,
"8.60",.9615625,1.421,
"8.65",.9667187,1.43,
"8.70",.9714062,1.438,
"8.75",.9770312,1.446,
"8.80",.9823437,1.455,
"8.85",.9870312,1.463,
"8.90",.9926562,1.471,
"8.95",.9971875,1.48,
"9.00",1.002656,1.488,
"9.05",1.008125,1.496,
"9.10",1.012656,1.505,
"9.15",1.017656,1.513,
"9.20",1.022344,1.521,
"9.25",1.028125,1.53,
"9.30",1.032812,1.538,
"9.35",1.037812,1.546,
"9.40",1.04375,1.555,
"9.45",1.049219,1.563,
"9.50",1.053906,1.571,
"9.55",1.059062,1.58,
"9.60",1.064531,1.588,
"9.65",1.070156,1.596,
"9.70",1.075312,1.605,
"9.75",1.080781,1.613,
"9.80",1.085781,1.621,
"9.85",1.090781,1.63,
"9.90",1.096094,1.638,
"9.95",1.101563,1.646,
"10.00",1.107031,1.655,
"10.05",1.111719,1.663,
"10.10",1.1175,1.671,
"10.15",1.1225,1.68,
"10.20",1.128438,1.688,
"10.25",1.132969,1.696,
"10.30",1.138125,1.705,
"10.35",1.143594,1.713,
"10.40",1.148594,1.721,
"10.45",1.15375,1.73,
"10.50",1.159375,1.738,
"10.55",1.164688,1.746,
"10.60",1.169688,1.755,
"10.65",1.175313,1.763,
"10.70",1.180625,1.771,
"10.75",1.186094,1.78,
"10.80",1.19125,1.788,
"10.85",1.196875,1.796,
"10.90",1.202188,1.805,
"10.95",1.2075,1.813,
"11.00",1.2125,1.821,
"11.05",1.217969,1.83,
"11.10",1.22375,1.838,
"11.15",1.228438,1.846,
"11.20",1.234063,1.855,
"11.25",1.239375,1.863,
"11.30",1.244531,1.871,
"11.35",1.249844,1.88,
"11.40",1.255,1.888,
"11.45",1.260625,1.896,
"11.50",1.265937,1.905,
"11.55",1.270781,1.913,
"11.60",1.27625,1.921,
"11.65",1.281719,1.93,
"11.70",1.287187,1.938,
"11.75",1.2925,1.946,
"11.80",1.299219,1.955,
"11.85",1.303906,1.963,
"11.90",1.309375,1.971,
"11.95",1.314687,1.98,
"12.00",1.319844,1.988,
"12.05",1.325938,1.996,
"12.10",1.331094,2.005,
"12.15",1.337031,2.013,
"12.20",1.341875,2.021,
"12.25",1.347656,2.03,
"12.30",1.352813,2.038,
"12.35",1.358438,2.046,
"12.40",1.364375,2.055,
"12.45",1.369688,2.063,
"12.50",1.374844,2.071,
"12.55",1.380625,2.08,
"12.60",1.386094,2.088,
"12.65",1.391719,2.096,
"12.70",1.397812,2.105,
"12.75",1.403437,2.113,
"12.80",1.408437,2.121,
"12.85",1.41375,2.13,
"12.90",1.419219,2.138,
"12.95",1.425,2.146,
"13.00",1.43,2.155,
"13.05",1.435938,2.163,
"13.10",1.441563,2.171,
"13.15",1.447188,2.18,
"13.20",1.452656,2.188,
"13.25",1.458125,2.196,
"13.30",1.464062,2.205,
"13.35",1.469687,2.213,
"13.40",1.475312,2.221,
"13.45",1.480937,2.23,
"13.50",1.486719,2.238,
"13.55",1.492188,2.246,
"13.60",1.497813,2.255,
"13.65",1.503594,2.263,
"13.70",1.508906,2.271,
"13.75",1.514531,2.28,
"13.80",1.520625,2.288,
"13.85",1.52625,2.296,
"13.90",1.531875,2.305,
"13.95",1.537344,2.313,
"14.00",1.542969,2.321,
"14.05",1.548906,2.33,
"14.10",1.554688,2.338,
"14.15",1.560313,2.346,
"14.20",1.56625,2.355,
"14.25",1.571094,2.363,
"14.30",1.576875,2.371,
"14.35",1.5825,2.38,
"14.40",1.588125,2.388,
"14.45",1.593594,2.396,
"14.50",1.599062,2.405,
"14.55",1.604844,2.413,
"14.60",1.611094,2.421,
"14.65",1.616562,2.43,
"14.70",1.6225,2.438,
"14.75",1.628125,2.446,
"14.80",1.634063,2.455,
"14.85",1.639688,2.463,
"14.90",1.645625,2.471,
"14.95",1.65125,2.48,
"15.00",1.656875,2.488,
"15.05",1.663125,2.496,
"15.10",1.668437,2.505,
"15.15",1.673906,2.513,
"15.20",1.679844,2.521,
"15.25",1.685781,2.53,
"15.30",1.691094,2.538,
"15.35",1.696719,2.546,
"15.40",1.702344,2.555,
"15.45",1.708281,2.563,
"15.50",1.713281,2.571,
"15.55",1.719531,2.58,
"15.60",1.725625,2.588,
"15.65",1.730937,2.596,
"15.70",1.736562,2.605,
"15.75",1.742656,2.613,
"15.80",1.747813,2.621,
"15.85",1.753125,2.63,
"15.90",1.758281,2.638,
"15.95",1.764063,2.646,
"16.00",1.769531,2.655,
"16.05",1.775313,2.663,
"16.10",1.78125,2.671,
"16.15",1.786719,2.68,
"16.20",1.792656,2.688,
"16.25",1.797969,2.696,
"16.30",1.803594,2.705,
"16.35",1.809531,2.713,
"16.40",1.815156,2.721,
"16.45",1.820938,2.73,
"16.50",1.826719,2.738,
"16.55",1.832188,2.746,
"16.60",1.838281,2.755,
"16.65",1.843594,2.763,
"16.70",1.84875,2.771,
"16.75",1.854844,2.78,
"16.80",1.860937,2.788,
"16.85",1.866562,2.796,
"16.90",1.872187,2.805,
"16.95",1.877813,2.813,
"17.00",1.883594,2.821,
"17.05",1.88875,2.83,
"17.10",1.894219,2.838,
"17.15",1.899688,2.846,
"17.20",1.905469,2.855,
"17.25",1.910781,2.863,
"17.30",1.914688,2.871,
"17.35",1.866875,2.881,
"17.35",1.866875,2.881,
"17.35",1.866875,2.881,

