Test Name,Test Mode,Test Type,Control,Test Speed 1,Test Speed 2,Test Speed 3,Change Point 1,Change Point 2,Disp. Origin,Break and Limit Action,Sensitivity:,Level:
,Single,Tensile,Stroke,10,1,1,Off,Off,Start,Stop,50,5
,,,,,,,,,,,,
Title,Sub title,Comment,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Shape:,Batch Size:,SubBatch Size:,,,,,,,,,,
Plate,1,1,,,,,,,,,,
Name:,Thickness,Width,Gauge Length,,,,,,,,,
Size Unit:,mm,mm,mm,,,,,,,,,
 Carbon Fiber,1.61,11.22,60,,,,,,,,,
,,,,,,,,,,,,
Name,Max_Force,,,,,,,,,,,
Parameter,,,,,,,,,,,,
Units,kN,,,,,,,,,,,
 Carbon Fiber,6.26906,,,,,,,,,,,
,,,,,,,,,,,,
 1- 1,,,,,,,,,,,,
Time,Force,Stroke,,,,,,,,,,
sec,kN,mm,,,,,,,,,,
5.85,1.5175,0.961,,,,,,,,,,
5.9,1.525313,0.97,,,,,,,,,,
5.95,1.531875,0.978,,,,,,,,,,
6,1.539375,0.986,,,,,,,,,,
6.05,1.545625,0.995,,,,,,,,,,
6.1,1.555313,1.003,,,,,,,,,,
6.15,1.5625,1.011,,,,,,,,,,
6.2,1.57,1.02,,,,,,,,,,
6.25,1.579375,1.028,,,,,,,,,,
6.3,1.587188,1.036,,,,,,,,,,
6.35,1.595,1.045,,,,,,,,,,
6.4,1.604063,1.053,,,,,,,,,,
6.45,1.613125,1.061,,,,,,,,,,
6.5,1.62375,1.07,,,,,,,,,,
6.55,1.630937,1.078,,,,,,,,,,
6.6,1.639688,1.086,,,,,,,,,,
6.65,1.649063,1.095,,,,,,,,,,
6.7,1.657187,1.103,,,,,,,,,,
6.75,1.666563,1.111,,,,,,,,,,
6.8,1.675625,1.12,,,,,,,,,,
6.85,1.68375,1.128,,,,,,,,,,
6.9,1.693437,1.136,,,,,,,,,,
6.95,1.7025,1.145,,,,,,,,,,
7,1.710625,1.153,,,,,,,,,,
7.05,1.719687,1.161,,,,,,,,,,
7.1,1.728438,1.17,,,,,,,,,,
7.15,1.7375,1.178,,,,,,,,,,
7.2,1.746875,1.186,,,,,,,,,,
7.25,1.755,1.195,,,,,,,,,,
7.3,1.76375,1.203,,,,,,,,,,
7.35,1.772812,1.211,,,,,,,,,,
7.4,1.782187,1.22,,,,,,,,,,
7.45,1.79125,1.228,,,,,,,,,,
7.5,1.799375,1.236,,,,,,,,,,
7.55,1.80875,1.245,,,,,,,,,,
7.6,1.817812,1.253,,,,,,,,,,
7.65,1.827188,1.261,,,,,,,,,,
7.7,1.83625,1.27,,,,,,,,,,
7.75,1.845312,1.278,,,,,,,,,,
7.8,1.855625,1.286,,,,,,,,,,
7.85,1.863125,1.295,,,,,,,,,,
7.9,1.872813,1.303,,,,,,,,,,
7.95,1.88125,1.311,,,,,,,,,,
8,1.89,1.32,,,,,,,,,,
8.05,1.899063,1.328,,,,,,,,,,
8.1,1.908125,1.336,,,,,,,,,,
8.15,1.916875,1.345,,,,,,,,,,
8.2,1.9275,1.353,,,,,,,,,,
8.25,1.935625,1.361,,,,,,,,,,
8.3,1.94375,1.37,,,,,,,,,,
8.35,1.952813,1.378,,,,,,,,,,
8.4,1.962188,1.386,,,,,,,,,,
8.45,1.971563,1.395,,,,,,,,,,
8.5,1.980312,1.403,,,,,,,,,,
8.55,1.98875,1.411,,,,,,,,,,
8.6,1.998438,1.42,,,,,,,,,,
8.65,2.0075,1.428,,,,,,,,,,
8.7,2.016875,1.437,,,,,,,,,,
8.75,2.025312,1.445,,,,,,,,,,
8.8,2.034688,1.453,,,,,,,,,,
8.85,2.04375,1.461,,,,,,,,,,
8.9,2.0525,1.47,,,,,,,,,,
8.95,2.061563,1.478,,,,,,,,,,
9,2.07125,1.486,,,,,,,,,,
9.05,2.08,1.495,,,,,,,,,,
9.1,2.089375,1.503,,,,,,,,,,
9.15,2.099375,1.511,,,,,,,,,,
9.2,2.109688,1.52,,,,,,,,,,
9.25,2.11875,1.528,,,,,,,,,,
9.3,2.128125,1.536,,,,,,,,,,
9.35,2.137187,1.545,,,,,,,,,,
9.4,2.146563,1.553,,,,,,,,,,
9.45,2.15625,1.561,,,,,,,,,,
9.5,2.166563,1.57,,,,,,,,,,
9.55,2.175625,1.578,,,,,,,,,,
9.6,2.185313,1.586,,,,,,,,,,
9.65,2.196563,1.595,,,,,,,,,,
9.7,2.206563,1.603,,,,,,,,,,
9.75,2.215938,1.611,,,,,,,,,,
9.8,2.225625,1.62,,,,,,,,,,
9.85,2.235312,1.628,,,,,,,,,,
9.9,2.245,1.636,,,,,,,,,,
9.95,2.254062,1.645,,,,,,,,,,
10,2.263438,1.653,,,,,,,,,,
10.05,2.273438,1.661,,,,,,,,,,
10.1,2.2825,1.67,,,,,,,,,,
10.15,2.2925,1.678,,,,,,,,,,
10.2,2.301875,1.687,,,,,,,,,,
10.25,2.311875,1.695,,,,,,,,,,
10.3,2.321875,1.703,,,,,,,,,,
10.35,2.33125,1.711,,,,,,,,,,
10.4,2.342187,1.72,,,,,,,,,,
10.45,2.35125,1.728,,,,,,,,,,
10.5,2.362187,1.736,,,,,,,,,,
10.55,2.371562,1.745,,,,,,,,,,
10.6,2.381875,1.753,,,,,,,,,,
10.65,2.391875,1.761,,,,,,,,,,
10.7,2.401562,1.77,,,,,,,,,,
10.75,2.411562,1.778,,,,,,,,,,
10.8,2.42125,1.786,,,,,,,,,,
10.85,2.431875,1.795,,,,,,,,,,
10.9,2.444062,1.803,,,,,,,,,,
10.95,2.4525,1.811,,,,,,,,,,
11,2.463125,1.82,,,,,,,,,,
11.05,2.473125,1.828,,,,,,,,,,
11.1,2.482812,1.836,,,,,,,,,,
11.15,2.493125,1.845,,,,,,,,,,
11.2,2.503125,1.853,,,,,,,,,,
11.25,2.51375,1.861,,,,,,,,,,
11.3,2.524688,1.87,,,,,,,,,,
11.35,2.533437,1.878,,,,,,,,,,
11.4,2.54375,1.886,,,,,,,,,,
11.45,2.55375,1.895,,,,,,,,,,
11.5,2.564063,1.903,,,,,,,,,,
11.55,2.57375,1.911,,,,,,,,,,
11.6,2.58375,1.92,,,,,,,,,,
11.65,2.595,1.928,,,,,,,,,,
11.7,2.604063,1.936,,,,,,,,,,
11.75,2.615,1.945,,,,,,,,,,
11.8,2.625625,1.953,,,,,,,,,,
11.85,2.635313,1.961,,,,,,,,,,
11.9,2.646563,1.97,,,,,,,,,,
11.95,2.656563,1.978,,,,,,,,,,
12,2.667187,1.986,,,,,,,,,,
12.05,2.676563,1.995,,,,,,,,,,
12.1,2.688125,2.003,,,,,,,,,,
12.15,2.698437,2.011,,,,,,,,,,
12.2,2.70875,2.02,,,,,,,,,,
12.25,2.72,2.028,,,,,,,,,,
12.3,2.730625,2.036,,,,,,,,,,
12.35,2.74125,2.045,,,,,,,,,,
12.4,2.7525,2.053,,,,,,,,,,
12.45,2.762813,2.061,,,,,,,,,,
12.5,2.773125,2.07,,,,,,,,,,
12.55,2.784375,2.078,,,,,,,,,,
12.6,2.795312,2.086,,,,,,,,,,
12.65,2.806562,2.095,,,,,,,,,,
12.7,2.8175,2.103,,,,,,,,,,
12.75,2.828125,2.111,,,,,,,,,,
12.8,2.839062,2.12,,,,,,,,,,
12.85,2.849688,2.128,,,,,,,,,,
12.9,2.860938,2.136,,,,,,,,,,
12.95,2.871562,2.145,,,,,,,,,,
13,2.882813,2.153,,,,,,,,,,
13.05,2.893437,2.161,,,,,,,,,,
13.1,2.905313,2.17,,,,,,,,,,
13.15,2.91625,2.178,,,,,,,,,,
13.2,2.925937,2.186,,,,,,,,,,
13.25,2.936875,2.195,,,,,,,,,,
13.3,2.94875,2.203,,,,,,,,,,
13.35,2.959375,2.211,,,,,,,,,,
13.4,2.970625,2.22,,,,,,,,,,
13.45,2.980937,2.228,,,,,,,,,,
13.5,2.992812,2.236,,,,,,,,,,
13.55,3.005,2.245,,,,,,,,,,
13.6,3.016562,2.253,,,,,,,,,,
13.65,3.0275,2.261,,,,,,,,,,
13.7,3.038438,2.27,,,,,,,,,,
13.75,3.050937,2.278,,,,,,,,,,
13.8,3.062187,2.286,,,,,,,,,,
13.85,3.074375,2.295,,,,,,,,,,
13.9,3.086562,2.303,,,,,,,,,,
13.95,3.098438,2.311,,,,,,,,,,
14,3.110312,2.32,,,,,,,,,,
14.05,3.122813,2.328,,,,,,,,,,
14.1,3.133437,2.336,,,,,,,,,,
14.15,3.145,2.345,,,,,,,,,,
14.2,3.158437,2.353,,,,,,,,,,
14.25,3.168437,2.361,,,,,,,,,,
14.3,3.180938,2.37,,,,,,,,,,
14.35,3.192812,2.378,,,,,,,,,,
14.4,3.20375,2.386,,,,,,,,,,
14.45,3.216875,2.395,,,,,,,,,,
14.5,3.2275,2.403,,,,,,,,,,
14.55,3.23875,2.411,,,,,,,,,,
14.6,3.25125,2.42,,,,,,,,,,
14.65,3.263125,2.428,,,,,,,,,,
14.7,3.27375,2.436,,,,,,,,,,
14.75,3.285,2.445,,,,,,,,,,
14.8,3.296875,2.453,,,,,,,,,,
14.85,3.309062,2.461,,,,,,,,,,
14.9,3.320625,2.47,,,,,,,,,,
14.95,3.333437,2.478,,,,,,,,,,
15,3.344687,2.486,,,,,,,,,,
15.05,3.3575,2.495,,,,,,,,,,
15.1,3.370312,2.503,,,,,,,,,,
15.15,3.381875,2.511,,,,,,,,,,
15.2,3.395,2.52,,,,,,,,,,
15.25,3.4075,2.528,,,,,,,,,,
15.3,3.419063,2.536,,,,,,,,,,
15.35,3.432188,2.545,,,,,,,,,,
15.4,3.443438,2.553,,,,,,,,,,
15.45,3.455625,2.561,,,,,,,,,,
15.5,3.46875,2.57,,,,,,,,,,
15.55,3.48,2.578,,,,,,,,,,
15.6,3.493438,2.586,,,,,,,,,,
15.65,3.505,2.595,,,,,,,,,,
15.7,3.516875,2.603,,,,,,,,,,
15.75,3.53,2.611,,,,,,,,,,
15.8,3.5425,2.62,,,,,,,,,,
15.85,3.554688,2.628,,,,,,,,,,
15.9,3.568125,2.636,,,,,,,,,,
15.95,3.580937,2.645,,,,,,,,,,
16,3.592813,2.653,,,,,,,,,,
16.05,3.605,2.661,,,,,,,,,,
16.1,3.618438,2.67,,,,,,,,,,
16.15,3.63,2.678,,,,,,,,,,
16.2,3.643125,2.687,,,,,,,,,,
16.25,3.656875,2.695,,,,,,,,,,
16.3,3.66875,2.703,,,,,,,,,,
16.35,3.681875,2.712,,,,,,,,,,
16.4,3.694688,2.72,,,,,,,,,,
16.45,3.706563,2.728,,,,,,,,,,
16.5,3.719687,2.736,,,,,,,,,,
16.55,3.7325,2.745,,,,,,,,,,
16.6,3.745,2.753,,,,,,,,,,
16.65,3.759375,2.761,,,,,,,,,,
16.7,3.771563,2.77,,,,,,,,,,
16.75,3.785312,2.778,,,,,,,,,,
16.8,3.798125,2.786,,,,,,,,,,
16.85,3.811875,2.795,,,,,,,,,,
16.9,3.823437,2.803,,,,,,,,,,
16.95,3.836875,2.811,,,,,,,,,,
17,3.85,2.82,,,,,,,,,,
17.05,3.863125,2.828,,,,,,,,,,
17.1,3.876563,2.836,,,,,,,,,,
17.15,3.889062,2.845,,,,,,,,,,
17.2,3.902188,2.853,,,,,,,,,,
17.25,3.915625,2.861,,,,,,,,,,
17.3,3.928125,2.87,,,,,,,,,,
17.35,3.94125,2.878,,,,,,,,,,
17.4,3.95375,2.886,,,,,,,,,,
17.45,3.966563,2.895,,,,,,,,,,
17.5,3.979375,2.903,,,,,,,,,,
17.55,3.9925,2.911,,,,,,,,,,
17.6,4.005938,2.92,,,,,,,,,,
17.65,4.018437,2.928,,,,,,,,,,
17.7,4.031562,2.936,,,,,,,,,,
17.75,4.044687,2.945,,,,,,,,,,
17.8,4.057813,2.953,,,,,,,,,,
17.85,4.071562,2.961,,,,,,,,,,
17.9,4.0875,2.97,,,,,,,,,,
17.95,4.098437,2.978,,,,,,,,,,
18,4.113125,2.986,,,,,,,,,,
18.05,4.125625,2.995,,,,,,,,,,
18.1,4.14,3.003,,,,,,,,,,
18.15,4.153438,3.011,,,,,,,,,,
18.2,4.16625,3.02,,,,,,,,,,
