"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.3500","10.7250","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","2.35766",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",1.5625E-04,0,
"0.05",0,.003,
"0.10",.0015625,.011,
"0.15",8.59375E-03,.019,
"0.20",.02,.027,
"0.25",.0340625,.035,
"0.30",4.859375E-02,.044,
"0.35",6.328125E-02,.052,
"0.40",7.765625E-02,.06,
"0.45",9.171875E-02,.069,
"0.50",.10625,.077,
"0.55",.1209375,.085,
"0.60",.135625,.094,
"0.65",.1503125,.102,
"0.70",.1648438,.11,
"0.75",.1795312,.119,
"0.80",.1942188,.127,
"0.85",.2084375,.135,
"0.90",.223125,.144,
"0.95",.2364063,.152,
"1.00",.25,.16,
"1.05",.263125,.169,
"1.10",.2765625,.177,
"1.15",.2896875,.185,
"1.20",.3026563,.194,
"1.25",.3153125,.202,
"1.30",.3285938,.21,
"1.35",.3414063,.219,
"1.40",.3539062,.227,
"1.45",.3665625,.235,
"1.50",.3789063,.244,
"1.55",.3910938,.252,
"1.60",.4035937,.26,
"1.65",.4146875,.269,
"1.70",.4265625,.277,
"1.75",.4379688,.285,
"1.80",.44875,.294,
"1.85",.459375,.302,
"1.90",.4692188,.31,
"1.95",.4795313,.319,
"2.00",.4885938,.327,
"2.05",.4971875,.335,
"2.10",.5054687,.344,
"2.15",.5129688,.352,
"2.20",.5215625,.36,
"2.25",.5292187,.369,
"2.30",.5365625,.377,
"2.35",.5442188,.385,
"2.40",.5510938,.394,
"2.45",.5579687,.402,
"2.50",.5653125,.41,
"2.55",.5721875,.419,
"2.60",.5792187,.427,
"2.65",.5860937,.435,
"2.70",.5921875,.444,
"2.75",.5984375,.452,
"2.80",.604375,.461,
"2.85",.6103125,.469,
"2.90",.6164063,.477,
"2.95",.6221875,.485,
"3.00",.628125,.494,
"3.05",.6334375,.502,
"3.10",.6396875,.51,
"3.15",.6460937,.519,
"3.20",.6520312,.527,
"3.25",.6576563,.535,
"3.30",.6640625,.544,
"3.35",.6696875,.552,
"3.40",.675625,.56,
"3.45",.68125,.569,
"3.50",.6871875,.577,
"3.55",.6926563,.585,
"3.60",.6984375,.594,
"3.65",.70375,.602,
"3.70",.7092187,.61,
"3.75",.714375,.619,
"3.80",.7196875,.627,
"3.85",.725,.635,
"3.90",.7303125,.644,
"3.95",.7354687,.652,
"4.00",.7409375,.66,
"4.05",.745625,.669,
"4.10",.75125,.677,
"4.15",.7560937,.685,
"4.20",.7609375,.694,
"4.25",.7660937,.702,
"4.30",.7710937,.711,
"4.35",.7760937,.719,
"4.40",.7804688,.727,
"4.45",.7854688,.735,
"4.50",.7892187,.744,
"4.55",.7946875,.752,
"4.60",.7996875,.76,
"4.65",.804375,.769,
"4.70",.809375,.777,
"4.75",.8142188,.785,
"4.80",.8192188,.794,
"4.85",.8245313,.802,
"4.90",.8292187,.81,
"4.95",.8340625,.819,
"5.00",.83875,.827,
"5.05",.8434375,.835,
"5.10",.848125,.844,
"5.15",.8539063,.852,
"5.20",.8578125,.86,
"5.25",.8628125,.869,
"5.30",.8678125,.877,
"5.35",.8729687,.885,
"5.40",.8789063,.894,
"5.45",.8839062,.902,
"5.50",.8892187,.91,
"5.55",.8945313,.919,
"5.60",.9001563,.927,
"5.65",.905625,.935,
"5.70",.9104688,.944,
"5.75",.91625,.952,
"5.80",.9209375,.96,
"5.85",.9265625,.969,
"5.90",.931875,.977,
