"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Carbon Fiber","1.6250","11.2200","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Carbon Fiber","5.12063",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",-.0009375,0,
"0.05",-.000625,.004,
"0.10",.0003125,.011,
"0.15",.006875,.019,
"0.20",.0190625,.028,
"0.25",.0365625,.036,
"0.30",.054375,.044,
"0.35",.0715625,.053,
"0.40",.0871875,.061,
"0.45",.1009375,.069,
"0.50",.1159375,.078,
"0.55",.131875,.086,
"0.60",.1496875,.094,
"0.65",.16625,.103,
"0.70",.183125,.111,
"0.75",.2021875,.119,
"0.80",.22125,.128,
"0.85",.2403125,.136,
"0.90",.2615625,.144,
"0.95",.2825,.153,
"1.00",.301875,.161,
"1.05",.3234375,.169,
"1.10",.345,.178,
"1.15",.3684375,.186,
"1.20",.3921875,.194,
"1.25",.4153125,.203,
"1.30",.44,.211,
"1.35",.4640625,.219,
"1.40",.4896875,.228,
"1.45",.514375,.236,
"1.50",.540625,.244,
"1.55",.5646875,.253,
"1.60",.5875,.261,
"1.65",.61125,.269,
"1.70",.6340625,.278,
"1.75",.6575,.286,
"1.80",.6790625,.294,
"1.85",.700625,.303,
"1.90",.7215625,.311,
"1.95",.7396875,.319,
"2.00",.75875,.328,
"2.05",.7765625,.336,
"2.10",.7928125,.344,
"2.15",.80875,.353,
"2.20",.8234375,.361,
"2.25",.835,.369,
"2.30",.8453125,.378,
"2.35",.85375,.386,
"2.40",.8621875,.394,
"2.45",.8725,.403,
"2.50",.881875,.411,
"2.55",.8934375,.419,
"2.60",.9034375,.428,
"2.65",.91375,.436,
"2.70",.9253125,.444,
"2.75",.936875,.453,
"2.80",.9475,.461,
"2.85",.96,.469,
"2.90",.9715625,.478,
"2.95",.984375,.486,
"3.00",.99625,.494,
"3.05",1.007813,.503,
"3.10",1.02125,.511,
"3.15",1.033437,.519,
"3.20",1.047187,.528,
"3.25",1.059062,.536,
"3.30",1.0725,.544,
"3.35",1.085625,.553,
"3.40",1.098125,.561,
"3.45",1.112188,.569,
"3.50",1.124688,.578,
"3.55",1.138438,.586,
"3.60",1.150625,.594,
"3.65",1.164063,.603,
"3.70",1.1775,.611,
"3.75",1.190938,.619,
"3.80",1.204375,.628,
"3.85",1.217188,.636,
"3.90",1.230312,.644,
"3.95",1.243438,.653,
"4.00",1.255937,.661,
"4.05",1.269688,.669,
"4.10",1.283125,.678,
"4.15",1.296563,.686,
"4.20",1.310313,.694,
"4.25",1.323437,.703,
"4.30",1.336875,.711,
"4.35",1.35,.719,
"4.40",1.364063,.728,
"4.45",1.3775,.736,
"4.50",1.391875,.744,
"4.55",1.404688,.753,
"4.60",1.419688,.761,
"4.65",1.432188,.769,
"4.70",1.44625,.778,
"4.75",1.46,.786,
"4.80",1.474687,.794,
"4.85",1.488438,.803,
"4.90",1.502187,.811,
"4.95",1.516875,.819,
"5.00",1.53125,.828,
"5.05",1.544688,.836,
"5.10",1.56,.844,
"5.15",1.573437,.853,
"5.20",1.5875,.861,
"5.25",1.6025,.869,
"5.30",1.616875,.878,
"5.35",1.631875,.886,
"5.40",1.645937,.894,
"5.45",1.661562,.903,
"5.50",1.675,.911,
"5.55",1.69,.919,
"5.60",1.70625,.928,
"5.65",1.720937,.936,
"5.70",1.73625,.944,
"5.75",1.750937,.953,
"5.80",1.765,.961,
"5.85",1.78,.969,
"5.90",1.795,.978,
"5.95",1.809062,.986,
"6.00",1.825312,.994,
"6.05",1.839687,1.003,
"6.10",1.854375,1.011,
"6.15",1.869375,1.019,
"6.20",1.88375,1.028,
"6.25",1.898438,1.036,
"6.30",1.914063,1.044,
"6.35",1.928125,1.053,
"6.40",1.9425,1.061,
"6.45",1.957813,1.07,
"6.50",1.973125,1.078,
"6.55",1.9875,1.086,
"6.60",2.002187,1.094,
"6.65",2.0175,1.103,
"6.70",2.032187,1.111,
"6.75",2.048438,1.119,
"6.80",2.0625,1.128,
"6.85",2.076562,1.136,
"6.90",2.09125,1.144,
"6.95",2.105625,1.153,
"7.00",2.120625,1.161,
"7.05",2.135,1.169,
"7.10",2.149688,1.178,
"7.15",2.164063,1.186,
"7.20",2.178125,1.194,
"7.25",2.193125,1.203,
"7.30",2.20625,1.211,
"7.35",2.220625,1.219,
"7.40",2.235938,1.228,
"7.45",2.250313,1.236,
"7.50",2.264688,1.244,
"7.55",2.278438,1.253,
"7.60",2.293437,1.261,
"7.65",2.308125,1.269,
"7.70",2.321563,1.278,
"7.75",2.335313,1.286,
"7.80",2.35,1.294,
"7.85",2.363437,1.303,
"7.90",2.377812,1.311,
"7.95",2.39125,1.319,
"8.00",2.404375,1.328,
"8.05",2.418437,1.336,
"8.10",2.431562,1.344,
"8.15",2.444375,1.353,
"8.20",2.45625,1.361,
"8.25",2.469375,1.369,
"8.30",2.481563,1.378,
