"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Carbon Fiber","1.6300","11.0400","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Carbon Fiber","5.51125",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",-.0003125,0,
"0.05",-.000625,.004,
"0.10",.0065625,.011,
"0.15",.018125,.019,
"0.20",.03125,.028,
"0.25",.0440625,.036,
"0.30",.0565625,.044,
"0.35",.06875,.053,
"0.40",.0803125,.061,
"0.45",.0925,.069,
"0.50",.105625,.077,
"0.55",.1196875,.086,
"0.60",.1328125,.094,
"0.65",.1471875,.103,
"0.70",.161875,.111,
"0.75",.1775,.119,
"0.80",.19375,.127,
"0.85",.2121875,.136,
"0.90",.2309375,.144,
"0.95",.2528125,.152,
"1.00",.2753125,.161,
"1.05",.29875,.169,
"1.10",.3240625,.177,
"1.15",.34875,.186,
"1.20",.3740625,.194,
"1.25",.3990625,.202,
"1.30",.4240625,.211,
"1.35",.448125,.219,
"1.40",.4721875,.228,
"1.45",.4978125,.236,
"1.50",.52375,.244,
"1.55",.5496875,.252,
"1.60",.575625,.261,
"1.65",.6009375,.269,
"1.70",.6265625,.278,
"1.75",.6525,.286,
"1.80",.676875,.294,
"1.85",.70375,.302,
"1.90",.7290625,.311,
"1.95",.7546875,.319,
"2.00",.779375,.327,
"2.05",.8040625,.336,
"2.10",.83,.344,
"2.15",.85375,.352,
"2.20",.8778125,.361,
"2.25",.9009375,.369,
"2.30",.9246875,.378,
"2.35",.948125,.386,
"2.40",.97125,.394,
"2.45",.9928125,.403,
"2.50",1.014688,.411,
"2.55",1.035313,.419,
"2.60",1.055938,.428,
"2.65",1.074375,.436,
"2.70",1.09125,.444,
"2.75",1.108125,.452,
"2.80",1.121875,.461,
"2.85",1.134375,.469,
"2.90",1.144063,.477,
"2.95",1.152812,.486,
"3.00",1.1625,.494,
"3.05",1.17125,.502,
"3.10",1.180938,.511,
"3.15",1.190625,.519,
"3.20",1.201563,.528,
"3.25",1.212188,.536,
"3.30",1.222813,.544,
"3.35",1.233438,.553,
"3.40",1.244063,.561,
"3.45",1.254375,.569,
"3.50",1.265625,.577,
"3.55",1.275938,.586,
"3.60",1.2875,.594,
"3.65",1.299688,.603,
"3.70",1.311563,.611,
"3.75",1.322188,.619,
"3.80",1.334687,.628,
"3.85",1.346563,.636,
"3.90",1.35875,.644,
"3.95",1.370625,.653,
"4.00",1.3825,.661,
"4.05",1.395,.669,
"4.10",1.407187,.678,
"4.15",1.419688,.686,
"4.20",1.431563,.694,
"4.25",1.44375,.702,
"4.30",1.455938,.711,
"4.35",1.468125,.719,
"4.40",1.48,.727,
"4.45",1.4925,.736,
"4.50",1.504375,.744,
"4.55",1.51625,.753,
"4.60",1.529375,.761,
"4.65",1.541563,.769,
"4.70",1.55375,.778,
"4.75",1.56625,.786,
"4.80",1.578437,.794,
"4.85",1.590937,.802,
"4.90",1.603438,.811,
"4.95",1.61625,.819,
"5.00",1.628438,.827,
"5.05",1.640625,.836,
"5.10",1.653437,.844,
"5.15",1.665938,.852,
"5.20",1.678437,.861,
"5.25",1.692188,.869,
"5.30",1.703437,.878,
"5.35",1.715937,.886,
"5.40",1.727813,.894,
"5.45",1.740312,.903,
"5.50",1.753125,.911,
"5.55",1.765313,.919,
"5.60",1.777187,.928,
"5.65",1.789063,.936,
"5.70",1.801563,.944,
"5.75",1.814062,.952,
"5.80",1.825312,.961,
"5.85",1.836875,.969,
"5.90",1.849687,.977,
"5.95",1.861875,.986,
"6.00",1.873438,.994,
"6.05",1.885625,1.002,
"6.10",1.896875,1.011,
"6.15",1.909375,1.019,
"6.20",1.921875,1.028,
"6.25",1.933437,1.036,
"6.30",1.944375,1.044,
"6.35",1.955312,1.053,
"6.40",1.965,1.061,
"6.45",1.975625,1.069,
"6.50",1.985937,1.077,
"6.55",1.995312,1.086,
"6.60",2.005,1.094,
"6.65",2.014375,1.102,
"6.70",2.02375,1.111,
"6.75",2.032813,1.119,
"6.80",2.041563,1.128,
"6.85",2.050313,1.136,
"6.90",2.060313,1.144,
"6.95",2.069688,1.153,
"7.00",2.078438,1.161,
"7.05",2.0875,1.169,
"7.10",2.096875,1.177,
"7.15",2.10625,1.186,
"7.20",2.115625,1.194,
"7.25",2.125313,1.202,
"7.30",2.133437,1.211,
"7.35",2.1425,1.219,
"7.40",2.151875,1.227,
"7.45",2.161875,1.236,
"7.50",2.169688,1.244,
"7.55",2.179063,1.253,
"7.60",2.188125,1.261,
"7.65",2.196875,1.269,
"7.70",2.204375,1.277,
"7.75",2.213438,1.286,
"7.80",2.220625,1.294,
"7.85",2.228437,1.302,
"7.90",2.235312,1.311,
"7.95",2.242188,1.319,
"8.00",2.25,1.327,
"8.05",2.258437,1.336,
"8.10",2.268125,1.344,
"8.15",2.277812,1.353,
"8.20",2.286875,1.361,
"8.25",2.296562,1.369,
"8.30",2.304688,1.378,
"8.35",2.314063,1.386,
"8.40",2.323437,1.394,
"8.45",2.333125,1.403,
"8.50",2.342187,1.411,
"8.55",2.351875,1.419,
"8.60",2.36125,1.427,
"8.65",2.370938,1.436,
"8.70",2.380312,1.444,
"8.75",2.390625,1.452,
"8.80",2.400312,1.461,
"8.85",2.409688,1.469,
"8.90",2.419375,1.477,
"8.95",2.42875,1.486,
"9.00",2.439375,1.494,
"9.05",2.448437,1.502,
"9.10",2.45875,1.511,
"9.15",2.469063,1.519,
"9.20",2.477813,1.528,
"9.25",2.48875,1.536,
"9.30",2.498437,1.544,
"9.35",2.509063,1.552,
"9.40",2.518125,1.561,
"9.45",2.527812,1.569,
"9.50",2.537188,1.577,
"9.55",2.546562,1.586,
"9.60",2.556562,1.594,
"9.65",2.566562,1.603,
"9.70",2.575938,1.611,
"9.75",2.58625,1.619,
"9.80",2.595625,1.628,
"9.85",2.605625,1.636,
"9.90",2.615625,1.644,
"9.95",2.625,1.652,
"10.00",2.635313,1.661,
"10.05",2.645313,1.669,
"10.10",2.655,1.677,
"10.15",2.665313,1.686,
"10.20",2.675937,1.694,
"10.25",2.68625,1.702,
"10.30",2.696563,1.711,
"10.35",2.705625,1.719,
"10.40",2.716563,1.728,
"10.45",2.72625,1.736,
"10.50",2.735938,1.744,
"10.55",2.746562,1.753,
"10.60",2.75625,1.761,
"10.65",2.765938,1.769,
"10.70",2.775938,1.778,
"10.75",2.78625,1.786,
"10.80",2.79625,1.794,
"10.85",2.806875,1.802,
"10.90",2.816875,1.811,
"10.95",2.826562,1.819,
"11.00",2.836875,1.827,
"11.05",2.846875,1.836,
"11.10",2.857812,1.844,
"11.15",2.868438,1.853,
"11.20",2.880312,1.861,
"11.25",2.889688,1.869,
"11.30",2.900625,1.878,
"11.35",2.91,1.886,
"11.40",2.92,1.894,
"11.45",2.929688,1.903,
"11.50",2.939687,1.911,
"11.55",2.949375,1.919,
"11.60",2.959687,1.928,
"11.65",2.970313,1.936,
"11.70",2.979687,1.944,
"11.75",2.989063,1.952,
"11.80",2.999063,1.961,
"11.85",3.009063,1.969,
