"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Carbon Fiber","1.5750","10.8700","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Carbon Fiber","6.25156",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"0.00",0,0,
"0.05",0,.001,
"0.10",.0003125,.009,
"0.15",.009375,.017,
"0.20",.0271875,.025,
"0.25",.044375,.034,
"0.30",.06,.042,
"0.35",.0728125,.05,
"0.40",.0853125,.059,
"0.45",.099375,.067,
"0.50",.1128125,.075,
"0.55",.126875,.084,
"0.60",.1428125,.092,
"0.65",.158125,.1,
"0.70",.175625,.109,
"0.75",.1925,.117,
"0.80",.2096875,.125,
"0.85",.229375,.134,
"0.90",.2503125,.142,
"0.95",.273125,.15,
"1.00",.2984375,.159,
"1.05",.3221875,.167,
"1.10",.3459375,.175,
"1.15",.370625,.184,
"1.20",.39125,.192,
"1.25",.4134375,.2,
"1.30",.436875,.209,
"1.35",.4615625,.217,
"1.40",.4865625,.225,
"1.45",.509375,.234,
"1.50",.5328125,.242,
"1.55",.55375,.25,
"1.60",.5759375,.259,
"1.65",.5959375,.267,
"1.70",.6146875,.275,
"1.75",.6315625,.284,
"1.80",.6475,.292,
"1.85",.6628125,.3,
"1.90",.678125,.309,
"1.95",.6925,.317,
"2.00",.708125,.325,
"2.05",.720625,.334,
"2.10",.7340625,.342,
"2.15",.746875,.35,
"2.20",.759375,.359,
"2.25",.7715625,.367,
"2.30",.7828125,.375,
"2.35",.795625,.384,
"2.40",.8065625,.392,
"2.45",.8178125,.4,
"2.50",.83,.409,
"2.55",.841875,.417,
"2.60",.8546875,.425,
"2.65",.86625,.434,
"2.70",.8790625,.442,
"2.75",.89,.45,
"2.80",.9021875,.459,
"2.85",.914375,.467,
"2.90",.9259375,.475,
"2.95",.936875,.484,
"3.00",.9503125,.492,
"3.05",.96125,.5,
"3.10",.975,.509,
"3.15",.9853125,.517,
"3.20",.998125,.525,
"3.25",1.010313,.534,
"3.30",1.024063,.542,
"3.35",1.035625,.55,
"3.40",1.046563,.559,
"3.45",1.058125,.567,
"3.50",1.071563,.575,
"3.55",1.084375,.584,
"3.60",1.095937,.592,
"3.65",1.10875,.6,
"3.70",1.120312,.609,
"3.75",1.1325,.617,
"3.80",1.145313,.625,
"3.85",1.156875,.634,
"3.90",1.16875,.642,
"3.95",1.180313,.65,
"4.00",1.192188,.659,
"4.05",1.20375,.667,
"4.10",1.215312,.675,
"4.15",1.2275,.684,
"4.20",1.238125,.692,
"4.25",1.24875,.7,
"4.30",1.259688,.709,
"4.35",1.270313,.717,
"4.40",1.280625,.725,
"4.45",1.290625,.734,
"4.50",1.30125,.742,
"4.55",1.311563,.75,
"4.60",1.320938,.759,
"4.65",1.33,.767,
"4.70",1.339687,.775,
"4.75",1.3475,.784,
"4.80",1.357813,.792,
"4.85",1.365,.8,
"4.90",1.374063,.809,
"4.95",1.381562,.817,
"5.00",1.389375,.825,
"5.05",1.39625,.834,
"5.10",1.402812,.842,
"5.15",1.410938,.85,
"5.20",1.419062,.859,
"5.25",1.427812,.867,
"5.30",1.436563,.875,
"5.35",1.444062,.884,
"5.40",1.451875,.892,
"5.45",1.459687,.9,
"5.50",1.467188,.909,
"5.55",1.477188,.917,
"5.60",1.485,.925,
"5.65",1.492813,.934,
"5.70",1.501875,.942,
"5.75",1.51125,.95,
"5.80",1.519688,.959,
"5.85",1.529063,.967,
"5.90",1.53875,.975,
"5.95",1.5475,.984,
"6.00",1.556563,.992,
"6.05",1.565938,1,
"6.10",1.575625,1.009,
"6.15",1.584062,1.017,
"6.20",1.592813,1.025,
"6.25",1.601875,1.034,
"6.30",1.610625,1.042,
"6.35",1.61875,1.05,
"6.40",1.626875,1.059,
"6.45",1.635625,1.067,
